Procedure Code,Procedure,Note
W+,"1. Butterworth with sea water at 55 °C to 65 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours
3. Recirculation in sea water or fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
W-,"1. Butterworth with sea water at 55 °C to 65 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours
3. Recirculation in sea water or fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
WA,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
WA+,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
WA-,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
WX,It is advisable NOT to load and carry this product after this cargo.,
X,"Although just drain and load will be sufficient in many cases, the cleanliness requirement of the cargo to be loaded could be very high depending on the intended application. The requirements should be verified with the loader of the cargo.",
X+,"Although just drain and load will be sufficient in many cases, the cleanliness requirement of the cargo to be loaded could be very high depending on the intended application. The requirements should be verified with the loader of the cargo.
Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
X-,"Although just drain and load will be sufficient in many cases, the cleanliness requirement of the cargo to be loaded could be very high depending on the intended application. The requirements should be verified with the loader of the cargo.
Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
Y,"1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
Y+,"1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
Y-,"1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in sea water or fresh water at 70 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (hydrocarbon)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
YA,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
YA+,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
YA-,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with ambient temperature sea water for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 1,5 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
YX,It is advisable NOT to load and carry this product after involved cargo.,
Z,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
Z+,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
Z-,"1. Butterworth with sea water at 55 °C to 60 °C for 2 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 3 hours (Ventilate tank after hot wash and remove sediments)
3. Recirculation in fresh water at 50 °C to 80 °C for 2 hours and use one of these cleaners:
- Solvent cleaner (other)
(Follow the manufacturer's usage instructions and flush afterwards sufficiently to remove cleaner residues)
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
ZA,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry",
ZA+,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
ZA-,"Careful cleaning is necessary to avoid contamination, because both cargoes consist of very different chemical components.

1. Butterworth with sea water at 55 °C to 60 °C for 1,5 hours (Moderate temperature to avoid high boiling residues)
2. Butterworth with sea water at 70 °C to 80 °C for 2 hours (Ventilate tank after hot wash and remove sediments)
3. Butterworth with sea water at 70 °C to 80 °C for 1 hour
4. Rinse with ambient temperature fresh water for 20 minutes
5. Vent, mop and dry
6. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
ZX,It is advisable NOT to load and carry this product after involved cargo.,
